ingredient_name,Sweetness,Acidity,Saltiness,Bitterness,Umami,Spiciness_Heat,Richness,Texture_Prep
간마늘,2,1,1,2,2,2,1,1
간장,1,1,5,1,5,1,1,1
감자,1,1,1,1,1,1,1,4
감자튀김,1,1,2,1,2,1,4,4
계란,1,1,1,1,2,1,2,3
고구마전분,1,1,1,1,1,1,1,5
고추,1,1,1,2,1,4,1,1
고추가루,1,1,1,1,2,5,1,1
고추장,3,2,4,1,4,4,2,3
고춧가루,1,1,1,1,2,5,1,1
골뱅이,1,1,1,1,3,1,1,4
곱창,1,1,1,1,4,1,5,4
국간장,1,1,5,1,4,1,1,1
국수,1,1,1,1,1,1,1,4
굴소스,2,1,4,1,5,1,1,2
굵은소금,1,1,5,1,1,1,1,1
기름,1,1,1,1,1,1,5,3
김치,1,4,4,1,4,3,1,2
김치국물,1,5,4,1,4,3,1,1
깨소금,1,1,2,1,2,1,3,2
깻순,1,1,1,3,1,1,1,1
깻잎,1,1,1,4,1,1,1,1
꽃게,2,1,2,1,5,1,1,2
낙지,1,1,2,1,4,1,1,3
넛맥,1,1,1,2,1,2,1,1
노두유,2,1,4,1,4,1,1,2
노른자,1,1,1,1,3,1,4,3
노추,2,1,4,1,4,1,1,2
녹말물,1,1,1,1,1,1,1,5
느타리버섯,1,1,1,1,3,1,1,2
다시다,1,1,4,1,5,1,1,1
다시마,1,1,2,1,5,1,1,1
다시마물,1,1,1,1,4,1,1,1
다진마늘,2,1,1,2,2,2,1,1
다진생강,1,1,1,2,1,2,1,1
다진양파,3,1,1,1,2,1,1,1
다진파,2,1,1,1,2,1,1,1
단무지,3,3,3,1,1,1,1,2
달걀,1,1,1,1,2,1,2,3
당근,2,1,1,1,1,1,1,2
당면,1,1,1,1,1,1,1,4
대파,2,1,1,2,2,1,1,1
돼지갈비,2,1,2,1,5,1,5,4
돼지고기,1,1,1,1,5,1,5,4
돼지고기다짐육,1,1,1,1,5,1,4,3
돼지고기앞다리살,1,1,1,1,5,1,4,4
돼지등뼈,1,1,1,1,4,1,4,4
돼지족,1,1,1,1,4,1,4,5
된장,1,1,4,2,5,1,3,3
두부,1,1,1,1,2,1,1,3
들깨가루,1,1,1,1,2,1,4,3
등갈비,1,1,2,1,5,1,5,4
떡볶이,3,1,3,1,3,4,1,5
레몬,1,5,1,2,1,1,1,1
레몬즙,1,5,1,1,1,1,1,1
로즈마리,1,1,1,3,1,1,1,1
마늘,2,1,1,3,2,2,1,1
마늘가루,1,1,1,2,2,1,1,1
마른고추,1,1,1,2,1,5,1,1
맛술,3,1,1,1,1,1,1,1
매실액,4,3,1,1,1,1,1,1
매실엑기스,4,3,1,1,1,1,1,1
매운고추,1,1,1,1,1,5,1,1
멸치,1,1,3,1,5,1,1,1
멸치다시마육수,1,1,2,1,5,1,1,1
멸치액젓,1,1,5,1,5,1,1,1
멸치육수,1,1,2,1,4,1,1,1
명란,1,1,5,1,5,1,2,2
모짜렐라,1,1,3,1,3,1,5,4
무우,2,1,1,1,1,1,1,2
무청,1,1,1,2,1,1,1,2
물엿,5,1,1,1,1,1,1,2
물전분,1,1,1,1,1,1,1,5
미나리,1,1,1,3,1,1,1,2
미더덕,1,1,3,1,4,1,1,3
미림,3,1,1,1,1,1,1,1
미작,3,1,1,1,1,1,1,1
미향,3,1,1,1,1,1,1,1
밀가루,1,1,1,1,1,1,1,4
바베큐소스,3,2,3,1,3,1,2,2
바지락,1,1,2,1,5,1,1,2
박력분,1,1,1,1,1,1,1,4
배즙,4,1,1,1,1,1,1,1
배추,2,1,1,1,1,1,1,2
버터,1,1,2,1,2,1,5,3
베이컨,1,1,4,1,4,1,5,3
베이킹파우더,1,1,2,2,1,1,1,1
볶음참깨,1,1,1,1,2,1,3,2
부추,1,1,1,2,1,1,1,1
부침가루,1,1,2,1,1,1,1,4
블루크랩,2,1,2,1,5,1,1,2
비엔나,1,1,3,1,4,1,4,3
빨간고추,1,1,1,1,1,4,1,1
빵가루,1,1,1,1,1,1,1,4
사골곰탕,1,1,1,1,4,1,4,2
사골육수,1,1,1,1,4,1,4,2
사과,3,2,1,1,1,1,1,1
사워크림,1,3,1,1,1,1,4,3
사이다,4,1,1,1,1,1,1,1
삼겹살,1,1,1,1,4,1,5,4
새우,2,1,2,1,5,1,1,2
새우젓,1,1,5,1,5,1,1,1
샐러리,1,1,1,3,1,1,1,2
생강,1,1,1,3,1,2,1,1
생강가루,1,1,1,2,1,2,1,1
생강즙,1,1,1,2,1,2,1,1
