food_name,Sweetness,Acidity,Saltiness,Bitterness,Umami,Spiciness_Heat,Richness,Texture_Prep,Cluster,Vibe_Tag
소갈비구이,2.3,1.0,1.6,1.2,2.4,1.2,2.0,1.8,1,Family
불고기,2.46,1.15,1.62,1.15,2.46,1.23,1.77,1.77,1,"Family, Friends"
순대,1.13,1.0,1.93,1.53,2.6,1.53,1.87,1.73,4,Solo
삼겹살구이,1.36,1.18,1.82,1.09,2.27,1.18,2.82,2.09,3,Family
소고기등심구이,1.11,1.0,1.56,1.67,2.11,1.33,2.78,2.11,5,Family
제육볶음,2.08,1.25,1.58,1.25,2.5,2.08,1.58,1.92,2,"Family, Friends"
항정살구이,1.33,1.0,1.0,1.33,3.33,1.0,3.67,3.33,5,Family
통삼겹오븐구이,1.4,1.0,1.7,1.4,2.5,1.3,1.8,1.7,1,Family
매운족발,2.3,1.1,1.8,1.2,2.3,2.4,1.4,1.7,2,Friends
소갈비찜,2.13,1.07,1.53,1.33,2.2,1.27,1.8,1.8,1,Family
수육보쌈,1.36,1.0,1.27,1.55,2.91,1.27,2.64,2.36,5,"Family, Friends"
한방족발,1.9,1.0,2.4,1.6,2.6,1.0,1.3,1.6,1,Family
닭볶음탕,2.18,1.09,1.64,1.27,2.0,2.09,1.09,1.64,2,Family
안동찜닭,2.0,1.0,1.22,1.39,1.44,1.33,1.17,1.72,1,Family
두부김치,1.62,1.38,1.88,1.12,2.0,1.88,1.75,1.75,1,Friends
매운갈비찜,2.17,1.17,1.67,1.11,2.33,2.0,1.5,1.83,2,Family
치킨만들기,1.47,1.0,1.47,1.26,1.21,1.32,1.53,1.63,1,"Solo, Friends"
양념치킨,2.86,1.43,2.14,1.29,2.43,2.14,1.14,1.57,2,"Solo, Friends"
김치전,1.25,2.75,2.75,1.25,2.75,2.25,1.0,2.0,4,Friends
해물파전,1.12,1.0,1.88,1.12,2.62,1.0,1.5,2.5,0,"Family, Friends"
감자전,1.0,1.0,2.0,1.0,1.0,1.5,2.0,2.25,1,Friends
소고기육전,1.44,1.0,1.44,1.22,2.22,1.44,1.89,2.33,1,Friends
탕수육,1.57,1.29,1.29,1.0,2.21,1.0,2.0,2.93,3,Friends
고기만두,1.56,1.19,1.62,1.38,2.44,1.38,1.5,1.94,1,Friends
아구찜,1.33,1.0,1.61,1.39,2.33,1.33,1.33,2.0,0,Family
낙지볶음,1.95,1.05,1.74,1.16,2.37,1.42,1.16,2.11,0,Friends
간장게장,1.9,1.0,1.6,1.5,2.3,1.9,1.0,1.1,0,Family
해물탕,1.5,1.0,2.05,1.2,3.25,1.55,1.05,1.7,0,Family
골뱅이무침,2.19,1.44,1.44,1.19,2.0,1.5,1.31,1.94,0,Friends
간장새우장,1.85,1.31,1.46,1.54,2.08,1.69,1.0,1.23,0,Family
오뎅탕,1.46,1.0,2.69,1.08,3.69,1.0,1.08,1.54,4,Solo
비빔밥,1.91,1.45,1.73,1.0,2.64,1.27,2.36,2.27,3,Solo
김밥,1.5,1.21,2.57,1.14,2.64,1.0,1.57,2.5,4,Solo
잡채,1.53,1.0,1.63,1.16,2.21,1.16,2.05,2.11,1,Family
짜장면,1.7,1.0,1.3,1.1,2.2,1.0,2.0,2.8,3,Solo
짬뽕,1.3,1.0,1.67,1.19,2.59,1.37,1.59,1.78,1,Solo
김치볶음밥,1.12,1.38,2.62,1.12,2.88,1.25,3.12,2.38,4,Solo
비빔냉면,2.44,1.78,1.78,1.22,2.11,1.89,1.33,1.33,2,Solo
떡볶이,2.4,1.2,2.4,1.2,2.8,2.4,1.2,1.4,2,Solo
로제떡볶이,1.71,1.06,2.29,1.24,3.0,1.71,2.41,2.24,4,"Solo, Friends"
소고기육회,1.75,1.17,1.67,1.08,2.5,1.08,2.33,2.08,3,Friends
떡갈비,2.0,1.0,1.53,1.2,2.93,1.13,2.33,1.87,1,Family
소곱창구이,1.0,1.0,1.0,1.0,2.75,1.0,4.0,3.75,3,Friends
두부조림,1.89,1.0,1.89,1.33,2.0,1.56,1.44,1.44,1,Solo
제육타코,1.94,1.25,1.88,1.12,2.62,1.75,2.0,2.06,1,"Solo, Friends"
김치치즈볼,1.4,1.4,1.8,1.0,2.1,1.2,2.8,3.0,3,"Solo, Friends"
등갈비바베큐,2.0,1.5,1.59,1.45,2.09,1.32,1.55,1.68,1,Family
순대볶음,1.85,1.08,1.69,1.31,2.31,1.77,1.62,2.0,1,"Solo, Friends"
순두부찌개,1.67,1.0,1.8,1.2,2.2,1.6,1.6,1.8,1,Solo
부대찌개,1.43,1.21,2.14,1.29,2.64,1.93,1.79,1.71,4,"Family, Friends"
감자탕,1.33,1.08,2.17,1.58,2.75,1.67,1.75,2.08,4,"Family, Friends"
