소갈비구이, Galbi
불고기, Bulgogi
순대, steamed Sundae
삼겹살구이, Samgyeopsal
소고기등심구이, Deungsim
제육볶음, Jeyuk bokkeum
항정살구이, Hangjungsal
통삼겹오븐구이, Pork belly roast
매운족발, Spicy Jokbal
소갈비찜, Galbi jjim
수육보쌈, Bossam
한방족발, Jokbal
닭볶음탕, Dakdoritang
안동찜닭, Jjimdak
두부김치, Dubu kimchi
매운갈비찜, Spicy Galbi jjim
치킨만들기, Korean fried chicken
양념치킨, Yangnyeom chicken
김치전, Kimchijeon
해물파전, Pajeon
감자전, Gamjajeon
소고기육전, Yukjeon
탕수육, Tangsuyuk
고기만두, Mandu
아구찜, Agujjim
낙지볶음, Nakji bokkeum
간장게장, Ganjang gejang
해물탕, Haemultang
골뱅이무침, Golbaengi muchim
간장새우장, Saewoojang
오뎅탕, Eomuk tang
비빔밥, Bibimbap
김밥, Kimbap
잡채, Japchae
짜장면, Jajangmyeon
짬뽕, Jjamppong
김치볶음밥, Kimchi bokkeumbap
비빔냉면, Spicy Naengmyeon
떡볶이, Tteokbokki 
로제떡볶이, Creamy Tteokbokki
소고기육회, Yukhoe
떡갈비, Tteokgalbi
소곱창구이, Gopchang
두부조림, Dubu jorim
제육타코, Jeyuk Tacos
김치치즈볼, Kimchi Arancini
등갈비바베큐, Gochujang Pork Ribs
순대볶음, Sundae bokkeum
순두부찌개, Sundubu jjigae
부대찌개, Budae jjigae
감자탕, Gamjatang
