id,search_key,official_name,description,
01,소갈비구이,Sogalbi-gui,Grilled Beef Short Ribs,
02,불고기,Bulgogi,Marinated Thinly Sliced Beef,
03,순대,Sundae,Korean Blood Sausage,
04,삼겹살구이,Samgyeopsal-gui,Grilled Pork Belly,
05,소고기등심구이,Sogogi Deungsim-gui,Grilled Beef Ribeye,
06,제육볶음,Jeyuk-bokkeum,Spicy Stir-fried Pork,
07,항정살구이,Hangjeongsal-gui,Grilled Pork Neck,
08,통삼겹오븐구이,Tong-samgyeop-gui,Oven-Roasted Pork Belly,
09,매운족발,Maeun-jokbal,Spicy Braised Pork Trotters,
10,소갈비찜,Sogalbi-jjim,Braised Beef Short Ribs,
11,수육보쌈,Suyuk Bossam,Boiled Pork Wraps,
12,한방족발,Hanbang-jokbal,Braised Pork Trotters with Herbs,
13,닭볶음탕,Dak-bokkeum-tang,Spicy Braised Chicken,
14,안동찜닭,Andong-jjimdak,Braised Chicken with Soy Sauce,
15,두부김치,Dubu-kimchi,Tofu with Stir-fried Kimchi,
16,매운갈비찜,Maeun-galbi-jjim,Spicy Braised Pork Ribs,
17,치킨만들기,Chikin,Crispy Korean Fried Chicken,
18,양념치킨,Yangnyeom Chikin,Sweet and Spicy Fried Chicken,
19,김치전,Kimchijeon,Kimchi Pancake,
20,해물파전,Haemul-pajeon,Seafood Green Onion Pancake,
21,감자전,Gamjajeon,Potato Pancake,
22,소고기육전,Sogogi-yukjeon,Pan-fried Battered Beef,
23,탕수육,Tangsuyuk,Sweet and Sour Pork,
24,고기만두,Gogi-mandu,Meat Dumplings,
25,아구찜,Agujjim,Spicy Braised Monkfish,
26,낙지볶음,Nakji-bokkeum,Spicy Stir-fried Octopus,
27,간장게장,Ganjang-gejang,Soy Sauce Marinated Crab,
28,해물탕,Haemultang,Spicy Seafood Stew,
29,골뱅이무침,Golbaengi-muchim,Spicy Sea Snail Salad,
30,간장새우장,Ganjang-saeujang,Soy Sauce Marinated Shrimp,
31,오뎅탕,Eomuk-tang,Fish Cake Soup,
32,비빔밥,Bibimbap,Mixed Rice with Vegetables and Meat,
33,김밥,Gimbap,Korean Seaweed Rice Rolls,
34,잡채,Japchae,Stir-fried Glass Noodles and Vegetables,
35,짜장면,Jajangmyeon,Noodles in Black Bean Sauce,
36,짬뽕,Jjamppong,Spicy Seafood Noodle Soup,
37,김치볶음밥,Kimchi-bokkeumbap,Kimchi Fried Rice,
38,비빔냉면,Bibim-naengmyeon,Spicy Cold Noodles,
39,떡볶이,Tteokbokki,Spicy Stir-fried Rice Cakes,
40,로제떡볶이,Rose Tteokbokki,Rice Cakes in Spicy Cream Sauce,
41,소고기육회,Sogogi-yukhoe,Korean Beef Tartare,
42,떡갈비,Tteokgalbi,Grilled Short Rib Patties,
43,소곱창구이,Sogopchang-gui,Grilled Beef Intestines,
44,두부조림,Dubu-jorim,Braised Tofu in Spicy Sauce,
45,제육타코,Jeyuk Tacos,Spicy Pork Tacos,
46,김치치즈볼,Kimchi Cheese Ball,Kimchi and Cheese Arancini,
47,등갈비바베큐,Deunggalbi Barbecue,Korean BBQ Pork Ribs,
48,순대볶음,Sundae-bokkeum,Spicy Stir-fried Blood Sausage,
49,순두부찌개,Sundubu-jjigae,Spicy Soft Tofu Stew,
50,부대찌개,Budae-jjigae,Spicy Sausage Stew,
51,감자탕,Gamjatang,Pork Bone Stew,
