food_name,cleaned_ingredients
소갈비구이,"소갈비, 양배추, 진간장, 원당, 설탕, 미향, 다진마늘, 다진생강, 통깨"
불고기,"소불고기, 양파, 대파, 팽이버섯, 느타리버섯, 설탕, 물엿, 매실액, 다진마늘, 간장, 후추, 참기름"
순대,"순대, 사골육수, 깻잎, 콩나물, 대파, 들깨가루, 사골육수, 고춧가루, 다진, 마늘, 다진, 생강, 새우젓, 소금, 후춧가루"
삼겹살구이,"삼겹살, 소금, 후춧가루, 올리브유, 대파, 굵은것, 매실엑기스, 멸치액젓, 참기름, 통깨, 깨소금"
소고기등심구이,"소고기등심, 올리브유, 소금, 후추, 타임, 로즈마리, 마늘, 버터"
제육볶음,"돼지고기앞다리살, 양파, 당근, 마늘, 고추, 간장, 물엿, 매실액, 고추장, 고춧가루, 후추가루"
항정살구이,"항정살, 통마늘"
통삼겹오븐구이,"통삼겹살, 후추, 굴소스, 진간장, 다진마늘, 월계수잎, 미작, 소주, 청주"
매운족발,"족발, 양파, 청양고추, 고추장, 고춧가루, 올리고당, 설탕, 다진, 마늘, 진간장, 후춧가루"
소갈비찜,"소갈비, 당근, 대파, 양파, 다진, 마늘, 간장, 올리고, 소스, 맛술, 청주, 설탕, 다진, 생강, 후춧가루, 참기름"
수육보쌈,"돼지고기, 오겹살, 된장, 소주(청주, 다진, 마늘, 대파, 양파, 통후추"
한방족발,"돼지족, 앞다리, 등분으로, 받음!, 진간장, 노추, 노두유, 중국간장, 가루, 알룰로스, 액상, 알룰로스, 홍삼, 스틱, 쌍화탕"
닭볶음탕,"감자, 양파, 당근, 청양고추, 대파, 고추장, 고춧가루, 간장, 맛술, 설탕, 마늘"
안동찜닭,"손질된, 한마리, 당면, 감자, 양파, 당근, 오이, 대파, 청고추, 진간장, 물엿, 설탕, 캐러멜소스, 다진마늘, 후춧가루, 인스턴트커피, 미림, 혹은, 소주, 쌀뜨물, 우유"
두부김치,"두부, 김치, 공기, 소금, 통깨, 설탕, 다진마늘, 고춧가루, 참기름"
매운갈비찜,"돼지갈비, 감자, 당근, 양파, 대파, 청양고추, 고추장, 고춧가루, 간장, 다진마늘, 설탕, 굴소스, 매실액, 맛술, 후추, 양파, 청양고추"
치킨만들기,"소금, 설탕, 생강가루, 마늘가루, 후추, MSG, 우유, 박력분, 옥수수전분, 소금, MSG, 파프리카가루, 넛맥, 가루, 양파가루, 마늘가루, 후추가루, 베이킹파우더, 설탕, 튀김용, 올리브오일, 기름"
양념치킨,"물엿, 다진, 마늘, 케찹, 설탕, 고추장, 고춧가루, 간장"
김치전,"김치, 부침가루, 김치국물, 다진마늘"
해물파전,"밀가루, 부침가루, 공기, 공기, 간장, 쪽파, 부추, 오징어, 식용유, 넉넉히"
감자전,"감자, 작은거, 식용유, 홍고추, 소금"
소고기육전,"채끝살, 간장, 생강즙, 다진마늘, 조청, 참기름, 후추, 찹쌀가루, 달걀"
탕수육,"간장, 식초, 설탕, 당근, 오이, 양파, 파프리카, 돼지고기, 안심, 전분가루, 고구마전분, 옥수수전분, 식용유"
고기만두,"돼지고기, 당면, 부추, 두부, 양파, 대파, 숙주나물, 김치, 설탕, 간장, 굴소스, 청주, 생강, 후추, 마늘"
아구찜,"아구,쭈꾸미, 콩나물, 찜용콩나물, 미나리, 대파, 미더덕, 다시마물, 참기름, 통깨, 녹말물, 고춧가루, 설탕, 마늘, 생강, 작은술, 소금, 간장"
낙지볶음,"낙지, 밀가루, 조금, 배추, 속대, 양파, 대파, 볶음참깨, 국수(중면, 고춧가루, 고추장, 멸치, 액젓, 미림, 올리고당, 설탕, 굴소스, 다진, 마늘"
간장게장,"블루크랩, 간장, 소주, 사이다, 설탕, 생강, 마늘크기, 마늘, 매운고추, 빨간고추, 다시마"
해물탕,"명란, 오만둥이, 바지락, 주먹, 낙지, 꽃게, 새우, 콩나물, 대파, 청양고추, 마늘, 양파, 부추, 조금, 새우젓, 고추가루, 맛술, 된장크게, 후추"
골뱅이무침,"골뱅이, 대파, 양파, 오이, 당근, 파프리카, 고춧가루, 고추장, 간장, 매실액, 황설탕, 식초, 마늘, 올리고당, 참기름"
간장새우장,"새우, 양파, 풋고추, 마늘, 간장, 청주, 맛술, 설탕, 생강, 마른고추, 통후추, 레몬"
오뎅탕,"오뎅, 멸치, 대파, 큰거, 무우, 양파, 표고버섯, 새우, 다시다, 굵은소금, 집간장, 쇠고기다시다, 선택"
비빔밥,"돼지고기, 애호박, 양파, 당근, 고추장, 간장, 설탕, 깨소금, 참기름, 식초"
김밥,"시금치, 단무지, 우엉, 오이지, 계란, 전분가루, 당근, 어묵, 진간장, 굴소스, 미림, 슬라이스햄, 잠봉, 슬라이스햄"
잡채,"당면, 소고기, 잡채용, 양파, 당근, 시금치, 느타리버섯, 넉넉히, 소금, 참기름, 통깨, 진간장, 맛술, 다진, 마늘, 참기름, 후추, 진간장, 물엿, 식용유"
짜장면,"양파, 양배추, 돼지고기, 오이, 줄기, 파스타면, 춘장, 설탕, 물전분"
짬뽕,"오징어, 돼지고기, 새우, 홍합, 잘게, 다진, 생강, 채썬, 양파, 채썬, 양배추, 채썬, 호박, 채썬, 당근, 매운고추, 부추, 멸치다시마육수, 다진, 마늘, 선택, 올리브유, 식용유, 간장, 고추가루, 피쉬액젓, 소금"
김치볶음밥,"김치, 베이컨, 대파, 달걀, 식용유, or, 올리브유, 간장"
비빔냉면,"고추장, 간장, 고춧가루, 설탕, 식초, 사이다, 매실액, 마늘, 통깨"
떡볶이,"대파, 설탕, 간장, 고추장, 고춧가루"
로제떡볶이,"떡볶이, 비엔나, 소시지, 대파, 양파, 어묵, 우유, 다진, 마늘, 파마산, 치즈가루, 체다치즈, 식용유, 고추장, 고춧가루, 간장, 카레가루, 설탕"
소고기육회,"소고기, 쪽파, 계란, 노른자, 소금, 설탕, 국간장, 참기름, 매실액, 다진마늘, 통깨"
떡갈비,"소고기다진것, 돼지고기다짐육, 간장, 설탕, 올리고당, 참기름, 마늘, 생강즙, 배즙, 양파즙, 다진파, 참기름, 간장"
소곱창구이,"곱창, 감자, 참기름"
두부조림,"두부, 소금, 고춧가루, 간장, 맛술, 다진, 마늘, 다진, 대파, 설탕, 참기름"
제육타코,"또또아, 인치, 돼지고기, 앞다리살, 양파, 대파, 양배추, 슈레드, 치즈, 간장, 맛술, 다진마늘, 후추, 고추장, 고춧가루, 진간장, 올리고당, 사워크림, 칠리소스"
