id,food_name,url,raw_ingredients
1,소갈비구이,https://www.10000recipe.com/recipe/6962996?srsltid=AfmBOopn5mDuNjiOCZv-x0czt_auPmmhCHm-lU9LEq2wJDbnsGm3xelo,[재료] 소갈비 800g 구매 양배추 1줌 구매 [양념] 진간장 7T 구매 원당 또는 설탕 4T 구매 미향 4T 구매 다진마늘 2T 구매 다진생강 1/2T 구매 통깨 적당량 구매
2,불고기,https://www.10000recipe.com/recipe/6879215?srsltid=AfmBOorPAs7SYxl6g9HPjB08yCta9cnAeMfZ3n4FRq2QyrYseSOs4Hhr,[재료] 소불고기 700g 구매 양파 1개 구매 대파 1대 구매 팽이버섯 1팩 구매 느타리버섯 1팩 구매 [양념] 설탕 4T 구매 물엿 2T 구매 매실액 1T 구매 다진마늘 3T 구매 간장 12T 구매 후추 약간 구매 참기름 3T 구매
3,순대,https://www.10000recipe.com/recipe/6921134?srsltid=AfmBOoqJ2PaaVNmCQp9WQgOvBMNcGfe5E-FcblrUo_TMTdBmjRFEMoMw,[재료] 순대 200g 구매 사골육수 6컵 구매 깻잎 4장 구매 콩나물 2줌 구매 대파 1/3개 구매 들깨가루 3T 구매 [순대국밥 양념] 사골육수 5T 구매 고춧가루 3T 구매 다진 마늘 1T 구매 다진 생강 1/2T 구매 새우젓 1/2T 구매 소금 1꼬집 구매 후춧가루 1꼬집 구매
4,삼겹살구이,https://www.10000recipe.com/recipe/5874939?srsltid=AfmBOoo94GXOqYC4-khn2LJTfqpIkmwsN_SlwonnHaNz4P1ZG3D5i1kZ,[재료] 삼겹살 500g 구매 소금 구매 후춧가루 구매 올리브유 2T 구매 [파채 재료] 대파 굵은것 1개 구매 매실엑기스 1T 구매 멸치액젓 1T 구매 참기름 1T 구매 통깨 1T 구매 깨소금 1T 구매
5,소고기등심구이,https://www.10000recipe.com/recipe/6875354?srsltid=AfmBOorjqRALFDgTq5uOYapnF1n2B2ySnuRoIQjpQmkwq5_mqipRTLEx,[재료] 소고기등심 구매 올리브유 구매 소금 구매 후추 구매 타임 구매 로즈마리 구매 마늘 구매 버터 구매
6,제육볶음,https://www.10000recipe.com/recipe/6845428?srsltid=AfmBOoqKUZCVlLewqvxOzYBs40ti7sqeBIfxJGgHSHBbzCmiV4l5wwSD,[제육볶음재료] 돼지고기앞다리살 1근 구매 양파 1개 구매 당근 1/3개 구매 마늘 1스푼 구매 파 약간 구매 고추 기호에맞게 구매 [재육볶음양념장] 간장 2스푼 구매 물엿 1스푼 구매 매실액 2스푼 구매 고추장 1스푼 구매 고춧가루 2스푼 구매 후추가루 약간 구매
7,항정살구이,https://www.10000recipe.com/recipe/7018287?srsltid=AfmBOoomuaJF5fplStdyW-nFvxLeA3hURy__oSymQZe-ZlUS_SElAVFK,[재료] 항정살 구매 통마늘 구매
8,통삼겹오븐구이,https://www.10000recipe.com/recipe/6880131?srsltid=AfmBOormXfUHrxGugQILV12UjoX8R3yhWlCu77oORxMWxI9RlyN3zI4d,[재료] 통삼겹살 600g 구매 [양념] 후추 톡톡 구매 굴소스 1T 구매 진간장 4~6t 구매 다진마늘 1T 구매 월계수잎 생략가능 1장 구매 미작 이나 소주 청주 2T 구매
9,매운족발,https://www.10000recipe.com/recipe/6880360?srsltid=AfmBOop3lyLlVYPrC519_q__L9Epg3y4va14Ys67QUA0PdMGcphb_ndH,[주재료] 족발 500g 구매 양파 1/2개 구매 [선택 재료] 청양고추 2개 구매 [양념] 고추장 2큰술 구매 고춧가루 2큰술 구매 올리고당 1큰술 구매 설탕 1큰술 구매 다진 마늘 1큰술 구매 진간장 2큰술 구매 후춧가루 약간 구매
10,소갈비찜,https://www.10000recipe.com/recipe/6881450?srsltid=AfmBOopSXAG8h0pYfd0o3e3SVHltqe4LXlH_C3XIPpEQHqMrgDEQyxVx,[재료] 소갈비 800~900g 구매 무 두께 5cm 정도 2토막 구매 당근 1/2개 구매 대파 1대 구매 [양념장] 배 1/2개 구매 양파 1/2개 구매 다진 마늘 2스푼 구매 간장 10스푼 구매 올리고 당 2스푼 구매 굴 소스 1스푼 구매 맛술 5스푼 구매 청주 4스푼 구매 설탕 2스푼 구매 다진 생강 0.3스푼 구매 후춧가루 0.3스푼 구매 참기름 0.5스푼 구매
